tweet_id	tweet	label
1.26870605840461E+018	on nov 4 this country needs to ask for accountability for the 109k americans dead all the and of the last 4 years a society that doesn t learn from their mistake is condemned to live them again	3
1.26914032736295E+018	join our discord server and our channel this is your safe space to be you	3
1.26861603656937E+018	did you know football analyst amp former qb terry bradshaw is one of many pro athletes who have been open about their struggle with mental health issues	3
1.26897317056188E+018	whatever the situation if you can t take it anymore tune in	3
1.26901180521456E+018	for more amp resources amp actionable steps move forward please join us on instagram ✊🏻✊🏽✊🏿 blackstock	3
1.26902587446202E+018	💯 it don t make u weak it makes u about your 🙌🏻🙌🏻🙌🏻	3
1.26859931438691E+018	why is this barrier rasing between and the is to face us and respond for 109k dead americans and is afraid of our reaction when we discover the and happening in front of our eyes where is	3
1.26895625488769E+018	this is painfully beautiful a monologue about loneliness and the effect it has on the of our young people	3
1.26859347224573E+018	keen to hear your thought on this guys do you think that training will become more of an obligation rather than a nice to have after do you also think that there will be a cultural shift in companies in the way that it is viewed	3
1.26872548541823E+018	if you have experienced or it s important to know that support is available hosts national service directory of support services find services in your area at or download the specially designed daisy app	3
1.26913198932147E+018	even those that see themselves as unemotional will experience on a daily basis	3
1.26898597353225E+018	check out one of our iv6 teams	3
1.26909643440355E+018	listen to golf g etting o ver l ife f ast s2e8 by medicine ball ⚓	3
1.26871702627462E+018	i avoided social media all day today because everything going on has been weighing heavily on my heart and but that’s exactly how i know of my because people of color don’t get to just tune out every single day is traumatic	3
1.26868676437126E+018	where is	3
1.26857704339188E+018	risk factors for depression in teen girls and what parents can do to help daughters cope	3
1.26874608947945E+018	it times like this mental health is very important don’t forget to take care of yourself in the midst of this battle	3
1.26911183585433E+018	domestic violence cases in india on the rise during the a veracious social reformist action agent for women safety empowerment entrepreneur youth icon motivational speaker debater w…	3
1.26878293859182E+018	why do so many suffer generalized anxiety like a dark and winding road	3
1.26875066833401E+018	im offering a free masterclass next week on how to say no without feeling please join me sign up here	3
1.26903429244679E+018	hold abuse of power accountable this is disgusting	1
1.26910986682974E+018	video post traumatic slave syndrome how is it different from ptsd via	3
1.26877648922869E+018	the importance of therapy for	3
1.26875605298569E+018	with everything going on make sure to give yourself time to recharge your energy get dressed up for nothing cook some dinner dance around the house light some clear the around you anything to highten your vibrations	3
1.26858331133049E+018	indeed the impact of is absolutely devastating with wide amp deep impacts for many years to come is where people are losing loved ones amp can t be with them at the end or can t have a proper funeral we re not past the peak yet	3
1.26871979899466E+018	nandita das’ short film listen to her is nothing but an ironical take on the ‘stay home stay safe’ motto during the lockdown	3
1.26855955003622E+018	do you feel things that you can t express is it hard to open up about your emotions or thoughts you get those butterflies your throat feels tense like something is stuck or that your throat is tight try writing it out find a notebook or use your phone	3
1.26878623718946E+018	some stats reposting from on day	3
1.26898618320963E+018	👉 ✌️😎💨🧠❤️🖤💯unite to end racism💯🖤❤️🧠🔥✌️🤤💨	3
1.26858898524645E+018	tonight 8 30pm special live on my instagram leggett1985 fc kye talking about peoples fc amp mental health 👍👏❤️ youtube channel ❤️❤️	3
1.26913248984869E+018	« to be close to god is to heal by his love »	3
1.26919196148496E+018	have a awesome weekend what are u upto this weekend stay safe lyn	3
1.26861601756499E+018	‘fear is healthy anxiety and panic are the opposite ’	3
1.26854948757377E+018	the need for innovation in has never been starker or more urgent on monday 10am et join our founder angermayer ceo and cso for a deep dive on the future of and register now	3
1.26896883845823E+018	those that need mental health support in detroit can find it through reach us detroit • • •	3
1.2687868946845E+018	is the knee to neck move taught to authorities i know little about restraining techniques but i would guess that a lot can go wrong amp cause serious damage it’s brutal amp should be banned	3
1.26854126755163E+018	join us for the dvs virtual gala where we envision a world and future without domestic violence in the comfort of your own home dress up or down and enjoy an entertaining and informative one of a kind virtual program	3
1.26902574802054E+018	remember to nurture that beautiful mind during these times not just the pandemic but with everything going on 💙💙💙	3
1.26903651306235E+018	another onlyfans creator and myself were in separate car accidents this week cheer us up by buying us some chocolates to share together while we recover 🥴💝😫❤️	3
1.26901292536627E+018	turn the page my new routine	3
1.26855460160056E+018	for asians treating our issues feels like having to pick a side	3
1.26854365234065E+018	tip 4 to stay mentally healthy while	3
1.26895056748682E+018	lewis hard to watch	3
1.26858345275804E+018	believe what your heart tells you not what others say	3
1.26858546843587E+018	😮 i’m pleased he loses control in front of people authorities may do nothing about it🤔 the lovely covert perpetrator no one sees their true colours only victim amp selected child amp they make victim look crazy good luck things need to change in courts 😘🙏🏼🤔	3
1.26869769227388E+018	oh for f cks sake shut the hell up if you don’t have an intelligent thing to say act like a leader and take some responsibility for your actions	3
1.2685990620281E+018	taraji p henson focuses on thanks to gina shaw and for interviewing me on ways to find a therapist this is so important right now	3
1.26871817918378E+018	in today s newsletter supporting farmer a u s congressman is looking to secure funding to help support mental health in the ag industry learn more	3
1.26858888863071E+018	how well will your team bounce back from the current crisis working on your ensures you have the ability to take even the most unexpected of events in your stride get in touch for the tools you need to put your team s first	3
